Name;Owner;PassengerCapacity;CargoCapacity;MaxSpeed
Costa Firenze;Costa Crociere;0
Costa Fortuna;Costa Crociere;1027
Costa Magica;Costa Crociere;1027
Costa Mediterranea;Costa Crociere;897
Costa Pacifica;Costa Crociere;1110
Costa Romantica;Costa Crociere;617
Costa Serena;Costa Crociere;1100
Costa Smeralda;Costa Crociere;1682
Costa Toscana;Costa Crociere;0
Costa Venezia;Costa Crociere;1450
Costa Victoria;Costa Crociere;790
Crown Iris;Mano Maritime;570
Crown Princess;Princess Cruises;1200
Crystal Serenity;Crystal Cruises;655
Crystal Symphony;Crystal Cruises;545
Delphin;Passat Kreuzfahrten;200
Deutschland / World Odyssey;Phoenix Reisen/Semester at Sea;280
Diamond Princess;Princess Cruises;1100
Discovery;Cruise & Maritime Voyages;350
Disney Dream;Disney Cruise Line;1453
Disney Fantasy;Disney Cruise Line;1458
Disney Magic;Disney Cruise Line;945
Disney Wish;Disney Cruise Line;1555
Disney Wonder;Disney Cruise Line;950
Dream Goddess;Dreamliner Cruises;170
EasyCruise One;Platinum Yacht Management LLC;54
Emerald Princess;Princess Cruises;1200
Empress of the Seas;Royal Caribbean International;671
Enchanted Isle;Commodore Cruise Line;0
Enchantment of the Seas;Royal Caribbean International;840
Enchanted Capri;Commodore Cruises;0
Enchanted Princess;Princess Cruises;0
Eurodam;Holland-America Line;929
Europa;Hapag-Lloyd Cruises GmbH;275
Europa 2;Hapag-Lloyd Cruises GmbH;357
Evrima;Ritz-Carlton;0
Explora I;Explora Journeys;1636
Explorer;G.A.P. Adventures;54
Explorer of the Seas;Royal Caribbean International;1180
Exploris One;Exploris Expeditions & Cruises;0
Formosa Queen;unbekannt;423
Fram;Hurtigruten AS;70
Freedom of the Seas;Royal Caribbean International;1400
Freewinds;;0
Fridtjof Nansen;Hurtigruten AS;0
Fritz Heckert;;0
Funchal;Brock Pierce;155
Gann;Rogaland Sjøaspirantsk;48
Gemini;Miray Cruises;360
Genting Dream;Dream Cruises;0
Golden Horizon;Tradewind Voyages;139
Golden Iris;Mano Maritime;350
